CODE,NAME,LEVEL,PARENT_CODE,STATUS
460100,海口市,2,460000,1
460105,秀英区,3,460100,1
460106,龙华区,3,460100,1
460107,琼山区,3,460100,1
460108,美兰区,3,460100,1
460200,三亚市,2,460000,1
460202,海棠区,3,460200,1
460203,吉阳区,3,460200,1
460204,天涯区,3,460200,1
460205,崖州区,3,460200,1
460300,三沙市,2,460000,1
460302,西沙区,3,460300,1
460303,南沙区,3,460300,1
460400,儋州市,2,460000,1
469000,省直辖县级行政区划,2,460000,1
469001,五指山市,3,460000,1
469002,琼海市,3,460000,1
469005,文昌市,3,460000,1
469006,万宁市,3,460000,1
469007,东方市,3,460000,1
469021,定安县,3,460000,1
469022,屯昌县,3,460000,1
469023,澄迈县,3,460000,1
469024,临高县,3,460000,1
469025,白沙黎族自治县,3,460000,1
469026,昌江黎族自治县,3,460000,1
469027,乐东黎族自治县,3,460000,1
469028,陵水黎族自治县,3,460000,1
469029,保亭黎族苗族自治县,3,460000,1
469030,琼中黎族苗族自治县,3,460000,1
500000,重庆市,1,,1
500101,万州区,3,500000,1
500102,涪陵区,3,500000,1
500103,渝中区,3,500000,1
500104,大渡口区,3,500000,1
500105,江北区,3,500000,1
500106,沙坪坝区,3,500000,1
500107,九龙坡区,3,500000,1
500108,南岸区,3,500000,1
500109,北碚区,3,500000,1
500110,綦江区,3,500000,1
500111,大足区,3,500000,1
500112,渝北区,3,500000,1
500113,巴南区,3,500000,1
500114,黔江区,3,500000,1
500115,长寿区,3,500000,1
500116,江津区,3,500000,1
500117,合川区,3,500000,1
500118,永川区,3,500000,1
500119,南川区,3,500000,1
500120,璧山区,3,500000,1
500151,铜梁区,3,500000,1
500152,潼南区,3,500000,1
500153,荣昌区,3,500000,1
500154,开州区,3,500000,1
500155,梁平区,3,500000,1
500156,武隆区,3,500000,1
500229,城口县,3,500000,1
500230,丰都县,3,500000,1
500231,垫江县,3,500000,1
500233,忠县,3,500000,1
500235,云阳县,3,500000,1
500236,奉节县,3,500000,1
500237,巫山县,3,500000,1
500238,巫溪县,3,500000,1
500240,石柱土家族自治县,3,500000,1
500241,秀山土家族苗族自治县,3,500000,1
500242,酉阳土家族苗族自治县,3,500000,1
500243,彭水苗族土家族自治县,3,500000,1
510000,四川省,1,,1
510100,成都市,2,510000,1
510104,锦江区,3,510100,1
510105,青羊区,3,510100,1
510106,金牛区,3,510100,1
510107,武侯区,3,510100,1
510108,成华区,3,510100,1
510112,龙泉驿区,3,510100,1
510113,青白江区,3,510100,1
510114,新都区,3,510100,1
510115,温江区,3,510100,1
510116,双流区,3,510100,1
510117,郫都区,3,510100,1
510118,新津区,3,510100,1
510121,金堂县,3,510100,1
510129,大邑县,3,510100,1
510131,蒲江县,3,510100,1
510181,都江堰市,3,510100,1
510182,彭州市,3,510100,1
510183,邛崃市,3,510100,1
510184,崇州市,3,510100,1
510185,简阳市,3,510100,1
510300,自贡市,2,510000,1
510302,自流井区,3,510300,1
510303,贡井区,3,510300,1
510304,大安区,3,510300,1
510311,沿滩区,3,510300,1
510321,荣县,3,510300,1
510322,富顺县,3,510300,1
510400,攀枝花市,2,510000,1
510402,东区,3,510400,1
510403,西区,3,510400,1
510411,仁和区,3,510400,1
510421,米易县,3,510400,1
510422,盐边县,3,510400,1
510500,泸州市,2,510000,1
510502,江阳区,3,510500,1
510503,纳溪区,3,510500,1
510504,龙马潭区,3,510500,1
510521,泸县,3,510500,1
510522,合江县,3,510500,1
510524,叙永县,3,510500,1
510525,古蔺县,3,510500,1
510600,德阳市,2,510000,1
510603,旌阳区,3,510600,1
510604,罗江区,3,510600,1
510623,中江县,3,510600,1
510681,广汉市,3,510600,1
510682,什邡市,3,510600,1
510683,绵竹市,3,510600,1
510700,绵阳市,2,510000,1
510703,涪城区,3,510700,1
510704,游仙区,3,510700,1
510705,安州区,3,510700,1
510722,三台县,3,510700,1
510723,盐亭县,3,510700,1
510725,梓潼县,3,510700,1
510726,北川羌族自治县,3,510700,1
510727,平武县,3,510700,1
510781,江油市,3,510700,1
510800,广元市,2,510000,1
510802,利州区,3,510800,1
510811,昭化区,3,510800,1
510812,朝天区,3,510800,1
510821,旺苍县,3,510800,1
510822,青川县,3,510800,1
510823,剑阁县,3,510800,1
510824,苍溪县,3,510800,1
510900,遂宁市,2,510000,1
510903,船山区,3,510900,1
510904,安居区,3,510900,1
510921,蓬溪县,3,510900,1
510923,大英县,3,510900,1
510981,射洪市,3,510900,1
511000,内江市,2,510000,1
511002,市中区,3,511000,1
511011,东兴区,3,511000,1
511024,威远县,3,511000,1
511025,资中县,3,511000,1
511083,隆昌市,3,511000,1
511100,乐山市,2,510000,1
511102,市中区,3,511100,1
511111,沙湾区,3,511100,1
511112,五通桥区,3,511100,1
511113,金口河区,3,511100,1
511123,犍为县,3,511100,1
